Attaching to bundler-test-executor_bundler-waiter_1, bundler-test-executor_bundler_1, bundler-test-executor_deployer_1, bundler-test-executor_funder_1, geth-1.13
[36mbundler-waiter_1  |[0m 2024-04-24T13:58:02.524970616Z "0x539"
[33mbundler_1         |[0m 2024-04-24T13:58:01.123607536Z {"level":"DEBUG","time":1713967081122,"pid":1,"hostname":"30f5d40f0dad","clientVersion":"0.6.1-alpha.0","txMode":"base","isUnsafeMode":false,"isP2PMode":false,"peerMultiaddrs":[],"httpApi":["web3","eth","debug"],"beneficiaryAddr":"0xd21934eD8eAf27a67f0A70042Af50A1D6d195E81","entryPointContractAddress":"0x0000000071727De22E5E9d8BAf0edAc6f37da032","autoBundleInterval":12000,"bundleSize":10,"isAutoBundle":false,"minStake":"1000000000000000000 wei","minUnstakeDelay":"0","minSignerBalance":"1000000000000000000 wei","maxBundleGas":5000000,"port":3000,"whitelist":[],"blacklist":[],"metrics":false,"msg":"Bundler config setup"}
[33mbundler_1         |[0m 2024-04-24T13:58:01.130944316Z {"level":"INFO","time":1713967081123,"pid":1,"hostname":"30f5d40f0dad","msg":"Set reputation interval to execute every 3600000 (ms)"}
[33mbundler_1         |[0m 2024-04-24T13:58:01.130961367Z {"level":"INFO","time":1713967081124,"pid":1,"hostname":"30f5d40f0dad","msg":"In-memory Mempool initialized with bundleSize=10 and MAX_MEMPOOL_USEROPS_PER_SENDER=4"}
[33mbundler_1         |[0m 2024-04-24T13:58:01.130967689Z {"level":"DEBUG","time":1713967081124,"pid":1,"hostname":"30f5d40f0dad","msg":"Entrypoint contract EventListener listening to UserOperationEvent"}
[33mbundler_1         |[0m 2024-04-24T13:58:01.130988247Z {"level":"INFO","time":1713967081125,"pid":1,"hostname":"30f5d40f0dad","msg":"Bundle mode set to manual with interval 12000 ms"}
[33mbundler_1         |[0m 2024-04-24T13:58:01.195856783Z {"level":"INFO","time":1713967081195,"pid":1,"hostname":"30f5d40f0dad","signerAddress":"0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","signerBalanceWei":"20000000000000000000","network":{"chainId":1337,"name":"unknown"},"msg":"Bundler passed preflight check"}
[33mbundler_1         |[0m 2024-04-24T13:58:01.197385957Z {"level":"INFO","time":1713967081197,"pid":1,"hostname":"30f5d40f0dad","msg":"Bundler listening on http://localhost:3000/rpc"}
[33mbundler_1         |[0m 2024-04-24T13:58:02.519312882Z {"level":"DEBUG","time":1713967082519,"pid":1,"hostname":"30f5d40f0dad","method":"eth_chainId","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-04-24T13:58:04.070597152Z {"level":"DEBUG","time":1713967084070,"pid":1,"hostname":"30f5d40f0dad","method":"debug_bundler_clearState","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-04-24T13:58:04.121783335Z {"level":"DEBUG","time":1713967084121,"pid":1,"hostname":"30f5d40f0dad","method":"eth_sendUserOperation","msg":"Handling incoming request"}
