Attaching to bundler-test-executor_bundler-waiter_1, bundler-test-executor_bundler_1, bundler-test-executor_deployer_1, bundler-test-executor_funder_1, geth-1.14
[33mbundler_1         |[0m 2024-07-22T01:09:49.018304515Z (node:1) ExperimentalWarning: Importing JSON modules is an experimental feature and might change at any time
[33mbundler_1         |[0m 2024-07-22T01:09:49.018403679Z (Use `node --trace-warnings ...` to show where the warning was created)
[33mbundler_1         |[0m 2024-07-22T01:09:49.963228965Z {"level":"DEBUG","time":1721610589962,"pid":1,"hostname":"cb713ad26136","clientVersion":"0.6.2-alpha.0","txMode":"base","isUnsafeMode":false,"isP2PMode":false,"peerMultiaddrs":[],"httpApi":["web3","eth","debug"],"beneficiaryAddr":"0xd21934eD8eAf27a67f0A70042Af50A1D6d195E81","entryPointContractAddress":"0x0000000071727De22E5E9d8BAf0edAc6f37da032","autoBundleInterval":12000,"bundleSize":10,"isAutoBundle":false,"minStake":"1000000000000000000 wei","minUnstakeDelay":"0","minSignerBalance":"1000000000000000000 wei","maxBundleGas":5000000,"port":3000,"whitelist":[],"blacklist":[],"metrics":false,"msg":"Bundler config setup"}
[33mbundler_1         |[0m 2024-07-22T01:09:49.976676193Z {"level":"INFO","time":1721610589963,"pid":1,"hostname":"cb713ad26136","msg":"Set reputation interval to execute every 3600000 (ms)"}
[33mbundler_1         |[0m 2024-07-22T01:09:49.976706099Z {"level":"INFO","time":1721610589963,"pid":1,"hostname":"cb713ad26136","msg":"In-memory Mempool initialized with bundleSize=10 and MAX_MEMPOOL_USEROPS_PER_SENDER=4"}
[33mbundler_1         |[0m 2024-07-22T01:09:49.976713663Z {"level":"DEBUG","time":1721610589964,"pid":1,"hostname":"cb713ad26136","msg":"Entrypoint contract EventListener listening to UserOperationEvent"}
[33mbundler_1         |[0m 2024-07-22T01:09:49.976720766Z {"level":"INFO","time":1721610589964,"pid":1,"hostname":"cb713ad26136","msg":"Bundle mode set to manual with interval 12000 ms"}
[33mbundler_1         |[0m 2024-07-22T01:09:50.032257228Z {"level":"INFO","time":1721610590031,"pid":1,"hostname":"cb713ad26136","signerAddress":"0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","signerBalanceWei":"20000000000000000000","network":{"chainId":1337,"name":"unknown"},"msg":"Bundler passed preflight check"}
[33mbundler_1         |[0m 2024-07-22T01:09:50.033135142Z {"level":"INFO","time":1721610590032,"pid":1,"hostname":"cb713ad26136","msg":"Bundler listening on http://localhost:3000/rpc"}
[33mbundler_1         |[0m 2024-07-22T01:09:50.910251729Z {"level":"DEBUG","time":1721610590909,"pid":1,"hostname":"cb713ad26136","method":"eth_chainId","msg":"Handling incoming request"}
[33mbundler_1         |[0m 2024-07-22T01:09:52.705976183Z {"level":"DEBUG","time":1721610592705,"pid":1,"hostname":"cb713ad26136","method":"debug_bundler_clearState","msg":"Handling incoming request"}
