deployer-1  | 2024-10-20T14:48:05.288886254Z Deploying entrypoint at 0x0000000071727De22E5E9d8BAf0edAc6f37da032
deployer-1  | 2024-10-20T14:48:11.370639725Z deploying:
geth-1.14   | 2024-10-20T14:48:04.462079282Z ERROR[10-20|14:48:04.461] Head block is not reachable
bundler-1   | 2024-10-20T14:48:18.071875127Z (node:1) ExperimentalWarning: Importing JSON modules is an experimental feature and might change at any time
bundler-1   | 2024-10-20T14:48:18.071934478Z (Use `node --trace-warnings ...` to show where the warning was created)
bundler-1   | 2024-10-20T14:48:18.892566810Z {"level":"DEBUG","time":1729435698891,"pid":1,"hostname":"431cd2972fab","clientVersion":"0.6.2-alpha.0","txMode":"base","isUnsafeMode":false,"isP2PMode":false,"peerMultiaddrs":[],"httpApi":["web3","eth","debug"],"beneficiaryAddr":"0xd21934eD8eAf27a67f0A70042Af50A1D6d195E81","entryPointContractAddress":"0x0000000071727De22E5E9d8BAf0edAc6f37da032","autoBundleInterval":12000,"bundleSize":10,"isAutoBundle":false,"minStake":"1000000000000000000 wei","minUnstakeDelay":"0","minSignerBalance":"1000000000000000000 wei","maxBundleGas":5000000,"port":3000,"whitelist":[],"blacklist":[],"metrics":false,"msg":"Bundler config setup"}
bundler-waiter-1  | 2024-10-20T14:48:19.951810327Z "0x539"
funder-1          | 2024-10-20T14:48:04.412962423Z Error: 
funder-1          | 2024-10-20T14:48:04.413381003Z error sending request for url (http://eth-node:8545/)
funder-1          | 2024-10-20T14:48:04.413390140Z 
funder-1          | 2024-10-20T14:48:04.413462916Z Context:
funder-1          | 2024-10-20T14:48:04.414052986Z - Error #0: error sending request for url (http://eth-node:8545/)
funder-1          | 2024-10-20T14:48:04.414495963Z - Error #1: client error (Connect)
funder-1          | 2024-10-20T14:48:04.414621817Z - Error #2: tcp connect error: Connection refused (os error 111)
funder-1          | 2024-10-20T14:48:04.414630443Z - Error #3: Connection refused (os error 111)
funder-1          | 2024-10-20T14:48:04.424961230Z FATAL: unable to find a funder account: no FUND_PRIVATEKEY and no accounts[0] in node
bundler-1         | 2024-10-20T14:48:18.906491533Z {"level":"INFO","time":1729435698892,"pid":1,"hostname":"431cd2972fab","msg":"Set reputation interval to execute every 3600000 (ms)"}
funder-1          | 2024-10-20T14:48:04.823591202Z funded: 0x43378ff8C70109Ee4Dbe85aF34428ab0615EBd23
funder-1          | 2024-10-20T14:48:04.842899066Z funded: 0x43378ff8C70109Ee4Dbe85aF34428ab0615EBd23
funder-1          | 2024-10-20T14:48:04.861762870Z funded: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
funder-1          | 2024-10-20T14:48:04.880513268Z funded: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
bundler-1         | 2024-10-20T14:48:18.906526418Z {"level":"INFO","time":1729435698892,"pid":1,"hostname":"431cd2972fab","msg":"In-memory Mempool initialized with bundleSize=10 and MAX_MEMPOOL_USEROPS_PER_SENDER=4"}
bundler-1         | 2024-10-20T14:48:18.906533491Z {"level":"DEBUG","time":1729435698893,"pid":1,"hostname":"431cd2972fab","msg":"Entrypoint contract EventListener listening to UserOperationEvent"}
bundler-1         | 2024-10-20T14:48:18.906539473Z {"level":"INFO","time":1729435698893,"pid":1,"hostname":"431cd2972fab","msg":"Bundle mode set to manual with interval 12000 ms"}
bundler-1         | 2024-10-20T14:48:18.948764194Z {"level":"INFO","time":1729435698948,"pid":1,"hostname":"431cd2972fab","signerAddress":"0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","signerBalanceWei":"20000000000000000000","network":{"chainId":1337,"name":"unknown"},"msg":"Bundler passed preflight check"}
bundler-1         | 2024-10-20T14:48:18.949494215Z {"level":"INFO","time":1729435698949,"pid":1,"hostname":"431cd2972fab","msg":"Bundler listening on http://localhost:3000/rpc"}
bundler-1         | 2024-10-20T14:48:19.947077601Z {"level":"DEBUG","time":1729435699946,"pid":1,"hostname":"431cd2972fab","method":"eth_chainId","msg":"Handling incoming request"}
bundler-1         | 2024-10-20T14:48:21.495728191Z {"level":"DEBUG","time":1729435701495,"pid":1,"hostname":"431cd2972fab","method":"debug_bundler_clearState","msg":"Handling incoming request"}
bundler-1         | 2024-10-20T14:48:21.499068398Z {"level":"DEBUG","time":1729435701498,"pid":1,"hostname":"431cd2972fab","method":"debug_bundler_setBundlingMode","msg":"Handling incoming request"}
bundler-1         | 2024-10-20T14:48:21.499619976Z {"level":"INFO","time":1729435701499,"pid":1,"hostname":"431cd2972fab","mode":"manual","msg":"Set bundling mode"}
bundler-1         | 2024-10-20T14:48:21.654868913Z {"level":"DEBUG","time":1729435701654,"pid":1,"hostname":"431cd2972fab","method":"eth_sendUserOperation","msg":"Handling incoming request"}
bundler-1         | 2024-10-20T14:48:21.662251906Z {"level":"DEBUG","time":1729435701654,"pid":1,"hostname":"431cd2972fab","msg":"Running checks on userOp"}
bundler-1         | 2024-10-20T14:48:21.662266524Z {"level":"DEBUG","time":1729435701655,"pid":1,"hostname":"431cd2972fab","msg":"Running calcPreVerificationGas on userOp"}
bundler-1         | 2024-10-20T14:48:21.662301579Z {"level":"DEBUG","time":1729435701658,"pid":1,"hostname":"431cd2972fab","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1         | 2024-10-20T14:48:21.783747013Z {"level":"DEBUG","time":1729435701783,"pid":1,"hostname":"431cd2972fab","msg":"UserOp passed validation"}
bundler-1         | 2024-10-20T14:48:21.789328068Z {"level":"DEBUG","time":1729435701789,"pid":1,"hostname":"431cd2972fab","sender":"0x87d1a48C660CFC4f4443C436Dc7C6F668Af247bc","nonce":"0x0","userOpHash":"0x7093395bd5fc60065d6b661f0e5b2b37858ef7a2e640895003c4e91c8e3ae0f6","status":"pending","msg":"added userOp to mempool"}
bundler-1         | 2024-10-20T14:48:21.792283718Z {"level":"DEBUG","time":1729435701792,"pid":1,"hostname":"431cd2972fab","method":"debug_bundler_dumpMempool","msg":"Handling incoming request"}
bundler-1         | 2024-10-20T14:48:21.793032154Z {"level":"DEBUG","time":1729435701792,"pid":1,"hostname":"431cd2972fab","msg":"_______________________________MEMPOOL DUMP____________________________________________"}
bundler-1         | 2024-10-20T14:48:21.793045809Z {"level":"DEBUG","time":1729435701792,"pid":1,"hostname":"431cd2972fab","msg":"Mempool size: 1"}
bundler-1         | 2024-10-20T14:48:21.793051089Z {"level":"DEBUG","time":1729435701792,"pid":1,"hostname":"431cd2972fab","entryCount":{"0x87d1a48c660cfc4f4443c436dc7c6f668af247bc":1},"msg":"Mempool entryCount"}
bundler-1         | 2024-10-20T14:48:21.793057891Z {"level":"DEBUG","time":1729435701792,"pid":1,"hostname":"431cd2972fab","msg":"________________________________________________________________________________________"}
