geth-1.14         | 2024-10-20T14:49:45.292806051Z ERROR[10-20|14:49:45.292] Head block is not reachable
deployer-1        | 2024-10-20T14:49:46.097149931Z Deploying entrypoint at 0x0000000071727De22E5E9d8BAf0edAc6f37da032
deployer-1        | 2024-10-20T14:49:52.178163869Z deploying:
bundler-waiter-1  | 2024-10-20T14:50:00.755585631Z "0x539"
bundler-1         | 2024-10-20T14:49:59.297820378Z  _    ______  __  _________    ________  ______
bundler-1         | 2024-10-20T14:49:59.297852267Z | |  / / __ \/ / /_  __/   |  /  _/ __ \/ ____/
bundler-1         | 2024-10-20T14:49:59.297859220Z | | / / / / / /   / / / /| |  / // /_/ / __/   
bundler-1         | 2024-10-20T14:49:59.297864770Z | |/ / /_/ / /___/ / / ___ |_/ // _, _/ /___   
bundler-1         | 2024-10-20T14:49:59.297869900Z |___/\____/_____/_/ /_/  |_/___/_/ |_/_____/   
bundler-1         | 2024-10-20T14:49:59.297875260Z version : 0.1.0a34
bundler-1         | 2024-10-20T14:49:59.297890275Z Oct 20 14:49:59.20 INFO Starting *** Voltaire *** - Python 4337 Bundler
bundler-1         | 2024-10-20T14:49:59.298944694Z Oct 20 14:49:59.20 DEBUG Updating reputation entries
bundler-1         | 2024-10-20T14:49:59.299185873Z Oct 20 14:49:59.20 INFO Starting HTTP RPC Server at: 0.0.0.0:3000/rpc
bundler-1         | 2024-10-20T14:49:59.299635301Z Oct 20 14:49:59.20 INFO Starting bundler_endpoint
bundler-1         | 2024-10-20T14:50:00.754541184Z Oct 20 14:50:00.20 DEBUG request: ('eth_chainId', [], 0)
bundler-1         | 2024-10-20T14:50:00.755167762Z Oct 20 14:50:00.20 DEBUG response: 0x539
bundler-1         | 2024-10-20T14:50:00.755568637Z Oct 20 14:50:00.20 INFO 172.25.0.3 "POST /rpc" done in 1.24ms: 200 "None" "None" eth_chainId RPC served - reqId:0
bundler-1         | 2024-10-20T14:50:02.277769585Z Oct 20 14:50:02.20 DEBUG request: ('debug_bundler_clearState', [], 0)
bundler-1         | 2024-10-20T14:50:02.278308830Z Oct 20 14:50:02.20 DEBUG response: ok
funder-1          | 2024-10-20T14:49:45.215665090Z Error: 
funder-1          | 2024-10-20T14:49:45.215707169Z error sending request for url (http://eth-node:8545/)
funder-1          | 2024-10-20T14:49:45.215713591Z 
funder-1          | 2024-10-20T14:49:45.215718981Z Context:
bundler-1         | 2024-10-20T14:50:02.278619632Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 1.094ms: 200 "None" "python-requests/2.32.3" debug_bundler_clearState RPC served - reqId:0
bundler-1         | 2024-10-20T14:50:02.280372289Z Oct 20 14:50:02.20 DEBUG request: ('debug_bundler_setBundlingMode', ['manual'], 1)
bundler-1         | 2024-10-20T14:50:02.280899993Z Oct 20 14:50:02.20 DEBUG response: OK
bundler-1         | 2024-10-20T14:50:02.281147342Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 833.103μs: 200 "None" "python-requests/2.32.3" debug_bundler_setBundlingMode RPC served - reqId:1
bundler-1         | 2024-10-20T14:50:02.434933623Z Oct 20 14:50:02.20 DEBUG request: ('eth_sendUserOperation', [{'sender': '0xffdFBCbf94b141E73c1a550bD905B86EB272C823', 'nonce': '0x0', 'factory': None, 'factoryData': None, 'callData': '0xa9e966b70000000000000000000000000000000000000000000000000000000000000001', 'callGasLimit': '0x493e0', 'verificationGasLimit': '0xf4240', 'preVerificationGas': '0x493e0', 'maxFeePerGas': '0x12a05f200', 'maxPriorityFeePerGas': '0x3b9aca00', 'signature': '0x', 'paymaster': None, 'paymasterData': None, 'paymasterVerificationGasLimit': None, 'paymasterPostOpGasLimit': None}, '0x0000000071727De22E5E9d8BAf0edAc6f37da032'], 2)
bundler-1         | 2024-10-20T14:50:02.514994096Z Oct 20 14:50:02.20 DEBUG response: 0x5c2120bd16d59b1aea12ff7aa969b609f04b933ef4c11a30d692ad050181812e
bundler-1         | 2024-10-20T14:50:02.515231186Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 80.527ms: 200 "None" "python-requests/2.32.3" eth_sendUserOperation RPC served - reqId:2
bundler-1         | 2024-10-20T14:50:02.517455706Z Oct 20 14:50:02.20 DEBUG request: ('debug_bundler_dumpMempool', ['0x0000000071727De22E5E9d8BAf0edAc6f37da032'], 3)
bundler-1         | 2024-10-20T14:50:02.518011011Z Oct 20 14:50:02.20 DEBUG response: [{'sender': '0xffdFBCbf94b141E73c1a550bD905B86EB272C823', 'nonce': '0x0', 'factory': None, 'factoryData': None, 'callData': '0xa9e966b70000000000000000000000000000000000000000000000000000000000000001', 'callGasLimit': '0x493e0', 'verificationGasLimit': '0xf4240', 'preVerificationGas': '0x493e0', 'maxFeePerGas': '0x12a05f200', 'maxPriorityFeePerGas': '0x3b9aca00', 'paymaster': None, 'paymasterVerificationGasLimit': None, 'paymasterPostOpGasLimit': None, 'paymasterData': None, 'signature': '0x'}]
bundler-1         | 2024-10-20T14:50:02.518247128Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 904.967μs: 200 "None" "python-requests/2.32.3" debug_bundler_dumpMempool RPC served - reqId:3
bundler-1         | 2024-10-20T14:50:02.520087249Z Oct 20 14:50:02.20 DEBUG request: ('eth_sendUserOperation', [{'sender': '0xffdFBCbf94b141E73c1a550bD905B86EB272C823', 'nonce': '0x0', 'factory': None, 'factoryData': None, 'callData': '0xa9e966b70000000000000000000000000000000000000000000000000000000000000002', 'callGasLimit': '0x493e0', 'verificationGasLimit': '0xf4240', 'preVerificationGas': '0x493e0', 'maxFeePerGas': '0x12a05f200', 'maxPriorityFeePerGas': '0x4190ab00', 'signature': '0x', 'paymaster': None, 'paymasterData': None, 'paymasterVerificationGasLimit': None, 'paymasterPostOpGasLimit': None}, '0x0000000071727De22E5E9d8BAf0edAc6f37da032'], 4)
bundler-1         | 2024-10-20T14:50:02.594068279Z Oct 20 14:50:02.20 WARNING 172.25.0.1 "POST /rpc" done in 73.992ms: 200 "None" "python-requests/2.32.3" eth_sendUserOperation RPC served - reqId:4 - error code:-32602 - error message:invalid UserOperation struct/fields
bundler-1         | 2024-10-20T14:50:02.596350855Z Oct 20 14:50:02.20 DEBUG request: ('debug_bundler_dumpMempool', ['0x0000000071727De22E5E9d8BAf0edAc6f37da032'], 5)
bundler-1         | 2024-10-20T14:50:02.596953228Z Oct 20 14:50:02.20 DEBUG response: [{'sender': '0xffdFBCbf94b141E73c1a550bD905B86EB272C823', 'nonce': '0x0', 'factory': None, 'factoryData': None, 'callData': '0xa9e966b70000000000000000000000000000000000000000000000000000000000000001', 'callGasLimit': '0x493e0', 'verificationGasLimit': '0xf4240', 'preVerificationGas': '0x493e0', 'maxFeePerGas': '0x12a05f200', 'maxPriorityFeePerGas': '0x3b9aca00', 'paymaster': None, 'paymasterVerificationGasLimit': None, 'paymasterPostOpGasLimit': None, 'paymasterData': None, 'signature': '0x'}]
bundler-1         | 2024-10-20T14:50:02.597199359Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 977.933μs: 200 "None" "python-requests/2.32.3" debug_bundler_dumpMempool RPC served - reqId:5
bundler-1         | 2024-10-20T14:50:02.604439368Z Oct 20 14:50:02.20 DEBUG request: ('debug_bundler_clearState', [], 6)
bundler-1         | 2024-10-20T14:50:02.605004210Z Oct 20 14:50:02.20 DEBUG response: ok
bundler-1         | 2024-10-20T14:50:02.605228989Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 899.808μs: 200 "None" "python-requests/2.32.3" debug_bundler_clearState RPC served - reqId:6
bundler-1         | 2024-10-20T14:50:02.606853936Z Oct 20 14:50:02.20 DEBUG request: ('debug_bundler_setBundlingMode', ['manual'], 7)
bundler-1         | 2024-10-20T14:50:02.607333911Z Oct 20 14:50:02.20 DEBUG response: OK
bundler-1         | 2024-10-20T14:50:02.607585750Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 810.852μs: 200 "None" "python-requests/2.32.3" debug_bundler_setBundlingMode RPC served - reqId:7
bundler-1         | 2024-10-20T14:50:02.645623959Z Oct 20 14:50:02.20 DEBUG request: ('eth_sendUserOperation', [{'sender': '0xD2B512f641F2F8Ee6feF648fE74698029f2eE363', 'nonce': '0x0', 'factory': None, 'factoryData': None, 'callData': '0xa9e966b70000000000000000000000000000000000000000000000000000000000000001', 'callGasLimit': '0x493e0', 'verificationGasLimit': '0xf4240', 'preVerificationGas': '0x493e0', 'maxFeePerGas': '0x12a05f200', 'maxPriorityFeePerGas': '0x3b9aca00', 'signature': '0x', 'paymaster': None, 'paymasterData': None, 'paymasterVerificationGasLimit': None, 'paymasterPostOpGasLimit': None}, '0x0000000071727De22E5E9d8BAf0edAc6f37da032'], 8)
bundler-1         | 2024-10-20T14:50:02.722788894Z Oct 20 14:50:02.20 DEBUG response: 0xbd7c001f9e069d9f68bac49735af2d11040280e4c2b903f7a95b5a5b334e8037
bundler-1         | 2024-10-20T14:50:02.723026931Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 77.568ms: 200 "None" "python-requests/2.32.3" eth_sendUserOperation RPC served - reqId:8
bundler-1         | 2024-10-20T14:50:02.725356812Z Oct 20 14:50:02.20 DEBUG request: ('debug_bundler_dumpMempool', ['0x0000000071727De22E5E9d8BAf0edAc6f37da032'], 9)
bundler-1         | 2024-10-20T14:50:02.725907939Z Oct 20 14:50:02.20 DEBUG response: [{'sender': '0xD2B512f641F2F8Ee6feF648fE74698029f2eE363', 'nonce': '0x0', 'factory': None, 'factoryData': None, 'callData': '0xa9e966b70000000000000000000000000000000000000000000000000000000000000001', 'callGasLimit': '0x493e0', 'verificationGasLimit': '0xf4240', 'preVerificationGas': '0x493e0', 'maxFeePerGas': '0x12a05f200', 'maxPriorityFeePerGas': '0x3b9aca00', 'paymaster': None, 'paymasterVerificationGasLimit': None, 'paymasterPostOpGasLimit': None, 'paymasterData': None, 'signature': '0x'}]
bundler-1         | 2024-10-20T14:50:02.726137728Z Oct 20 14:50:02.20 INFO 172.25.0.1 "POST /rpc" done in 890.5μs: 200 "None" "python-requests/2.32.3" debug_bundler_dumpMempool RPC served - reqId:9
bundler-1         | 2024-10-20T14:50:02.727988932Z Oct 20 14:50:02.20 DEBUG request: ('eth_sendUserOperation', [{'sender': '0xD2B512f641F2F8Ee6feF648fE74698029f2eE363', 'nonce': '0x0', 'factory': None, 'factoryData': None, 'callData': '0xa9e966b70000000000000000000000000000000000000000000000000000000000000002', 'callGasLimit': '0x493e0', 'verificationGasLimit': '0xf4240', 'preVerificationGas': '0x493e0', 'maxFeePerGas': '0x147d35700', 'maxPriorityFeePerGas': '0x3b9aca00', 'signature': '0x', 'paymaster': None, 'paymasterData': None, 'paymasterVerificationGasLimit': None, 'paymasterPostOpGasLimit': None}, '0x0000000071727De22E5E9d8BAf0edAc6f37da032'], 10)
bundler-1         | 2024-10-20T14:50:02.800735327Z Oct 20 14:50:02.20 WARNING 172.25.0.1 "POST /rpc" done in 72.73ms: 200 "None" "python-requests/2.32.3" eth_sendUserOperation RPC served - reqId:10 - error code:-32602 - error message:invalid UserOperation struct/fields
bundler-1         | 2024-10-20T14:50:02.802941861Z Oct 20 14:50:02.20 DEBUG request: ('debug_bundler_dumpMempool', ['0x0000000071727De22E5E9d8BAf0edAc6f37da032'], 11)
