geth-1.15  | 2025-05-18T15:24:06.605497997Z ERROR[05-18|15:24:06.605] Head block is not reachable
bundler-waiter-1  | 2025-05-18T15:24:09.750158762Z "0x539"
funder-1          | 2025-05-18T15:24:06.453624797Z Error: error sending request for url (http://eth-node:8545/)
funder-1          | 2025-05-18T15:24:06.453657579Z 
funder-1          | 2025-05-18T15:24:06.453661857Z Context:
funder-1          | 2025-05-18T15:24:06.453665233Z - Error #0: error sending request for url (http://eth-node:8545/)
funder-1          | 2025-05-18T15:24:06.453668539Z - Error #1: client error (Connect)
funder-1          | 2025-05-18T15:24:06.453671725Z - Error #2: tcp connect error: Connection refused (os error 111)
funder-1          | 2025-05-18T15:24:06.453674721Z - Error #3: Connection refused (os error 111)
funder-1          | 2025-05-18T15:24:06.454013427Z FATAL: unable to find a funder account: no FUND_PRIVATEKEY and no accounts[0] in node
funder-1          | 2025-05-18T15:24:06.747281295Z funded: 0x43378ff8C70109Ee4Dbe85aF34428ab0615EBd23
funder-1          | 2025-05-18T15:24:06.765398030Z funded: 0x43378ff8C70109Ee4Dbe85aF34428ab0615EBd23
funder-1          | 2025-05-18T15:24:06.783336192Z funded: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
funder-1          | 2025-05-18T15:24:06.801647913Z funded: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
bundler-1         | 2025-05-18T15:24:08.157946935Z {"level":"INFO","time":1747581848157,"pid":1,"hostname":"5d96273ff8e4","msg":"Set reputation interval to execute every 3600000 (ms)"}
bundler-1         | 2025-05-18T15:24:08.169904926Z {"level":"DEBUG","time":1747581848159,"pid":1,"hostname":"5d96273ff8e4","msg":"Entrypoint contract EventListener listening to events(UserOperationEvent)"}
bundler-1         | 2025-05-18T15:24:08.198784998Z {"level":"DEBUG","time":1747581848198,"pid":1,"hostname":"5d96273ff8e4","msg":"Checking if network provider supports debug_traceCall to run full validation with standard javascript tracer"}
bundler-1         | 2025-05-18T15:24:08.220751367Z {"level":"INFO","time":1747581848220,"pid":1,"hostname":"5d96273ff8e4","signerDetails":[{"signerAddresses":"0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","signerBalanceWei":"20000000000000000000"}],"network":{"chainId":1337,"name":"unknown"},"mode":"SAFE","nativeTracerEnabled":false,"txMode":"base","bundleMode":"manual","autoBundleInterval":"12000 ms","version":"0.11.0-alpha.0","bundleSize":10,"msg":"Builder passed preflight checks"}
bundler-1         | 2025-05-18T15:24:08.222040600Z {"level":"INFO","time":1747581848221,"pid":1,"hostname":"5d96273ff8e4","msg":"Node listening on http://localhost:3000/rpc"}
