geth-1.15  | 2025-06-03T07:48:53.257826637Z ERROR[06-03|07:48:53.257] Head block is not reachable
funder-1   | 2025-06-03T07:48:53.090801060Z Error: error sending request for url (http://eth-node:8545/)
funder-1   | 2025-06-03T07:48:53.090844521Z 
funder-1   | 2025-06-03T07:48:53.090848719Z Context:
funder-1   | 2025-06-03T07:48:53.090852245Z - Error #0: error sending request for url (http://eth-node:8545/)
funder-1   | 2025-06-03T07:48:53.090855261Z - Error #1: client error (Connect)
funder-1   | 2025-06-03T07:48:53.090858166Z - Error #2: tcp connect error: Connection refused (os error 111)
funder-1   | 2025-06-03T07:48:53.090861092Z - Error #3: Connection refused (os error 111)
funder-1   | 2025-06-03T07:48:53.091231089Z FATAL: unable to find a funder account: no FUND_PRIVATEKEY and no accounts[0] in node
funder-1   | 2025-06-03T07:48:53.389169055Z funded: 0x43378ff8C70109Ee4Dbe85aF34428ab0615EBd23
funder-1   | 2025-06-03T07:48:53.406803578Z funded: 0x43378ff8C70109Ee4Dbe85aF34428ab0615EBd23
funder-1   | 2025-06-03T07:48:53.425388940Z funded: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
funder-1   | 2025-06-03T07:48:53.443157545Z funded: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
bundler-1  | 2025-06-03T07:48:54.883689886Z {"level":"INFO","time":1748936934883,"pid":1,"hostname":"5193f7b95676","msg":"Set reputation interval to execute every 3600000 (ms)"}
bundler-1  | 2025-06-03T07:48:54.892984321Z {"level":"DEBUG","time":1748936934884,"pid":1,"hostname":"5193f7b95676","msg":"Entrypoint contract EventListener listening to events(UserOperationEvent)"}
bundler-1  | 2025-06-03T07:48:54.934204246Z {"level":"INFO","time":1748936934933,"pid":1,"hostname":"5193f7b95676","signerDetails":[{"signerAddresses":"0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266","signerBalanceWei":"20000000000000000000"}],"bundleConfig":{"mode":"SAFE","txMode":"base","bundleMode":"manual","autoBundleInterval":"12000 ms","bundleSize":10},"clientInfo":{"network":{"chainId":1337,"name":"unknown"},"providerClientVersion":"Geth/v1.15.1-unstable-0e9e45f9-20250212/linux-amd64/go1.23.7","transeptorVersion":"0.12.0-alpha.0"},"msg":"Builder passed preflight checks"}
bundler-1  | 2025-06-03T07:48:54.935504341Z {"level":"INFO","time":1748936934935,"pid":1,"hostname":"5193f7b95676","msg":"Node listening on http://localhost:3000/rpc"}
bundler-1  | 2025-06-03T07:48:56.361125837Z {"level":"DEBUG","time":1748936936360,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_chainId with requestId(0)"}
bundler-1  | 2025-06-03T07:48:56.372896777Z {"level":"DEBUG","time":1748936936372,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(0)"}
bundler-1  | 2025-06-03T07:48:58.573851656Z {"level":"DEBUG","time":1748936938573,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_clearState with requestId(0)"}
bundler-1  | 2025-06-03T07:48:58.574842735Z {"level":"DEBUG","time":1748936938574,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(0)"}
bundler-1  | 2025-06-03T07:48:58.577068581Z {"level":"DEBUG","time":1748936938576,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for debug_bundler_setBundlingMode with requestId(1)"}
bundler-1  | 2025-06-03T07:48:58.577981979Z {"level":"INFO","time":1748936938577,"pid":1,"hostname":"5193f7b95676","mode":"manual","msg":"Set bundling mode"}
bundler-1  | 2025-06-03T07:48:58.577996306Z {"level":"DEBUG","time":1748936938577,"pid":1,"hostname":"5193f7b95676","msg":"<--- Successfully handled method requestId(1)"}
bundler-1  | 2025-06-03T07:48:58.680291026Z {"level":"DEBUG","time":1748936938680,"pid":1,"hostname":"5193f7b95676","msg":"---> Handling valid request for eth_sendUserOperation with requestId(2)"}
bundler-1  | 2025-06-03T07:48:58.688098346Z {"level":"DEBUG","time":1748936938680,"pid":1,"hostname":"5193f7b95676","msg":"Validating input parameters for UserOperation"}
bundler-1  | 2025-06-03T07:48:58.688116189Z {"level":"DEBUG","time":1748936938684,"pid":1,"hostname":"5193f7b95676","msg":"Input parameters for UserOperation are valid"}
bundler-1  | 2025-06-03T07:48:58.688123843Z {"level":"DEBUG","time":1748936938684,"pid":1,"hostname":"5193f7b95676","msg":"Validating UserOperation"}
bundler-1  | 2025-06-03T07:48:58.688130025Z {"level":"DEBUG","time":1748936938684,"pid":1,"hostname":"5193f7b95676","msg":"Running full validation with storage/opcode checks on userOp"}
bundler-1  | 2025-06-03T07:48:58.723879461Z {"level":"DEBUG","time":1748936938723,"pid":1,"hostname":"5193f7b95676","msg":"Running erc7562TracerResultParser on full validation results"}
bundler-1  | 2025-06-03T07:48:58.745888642Z {"level":"DEBUG","time":1748936938745,"pid":1,"hostname":"5193f7b95676","status":"valid","msg":"UserOperation validation result"}
