deployer-1  | 2025-06-03T07:51:02.254719367Z Deploying entrypoint at 0x4337084d9e255ff0702461cf8895ce9e3b5ff108
deployer-1  | 2025-06-03T07:51:02.309799474Z deploying:
funder-1    | 2025-06-03T07:51:01.566663727Z Error: error sending request for url (http://eth-node:8545/)
funder-1    | 2025-06-03T07:51:01.566728378Z 
funder-1    | 2025-06-03T07:51:01.566735000Z Context:
funder-1    | 2025-06-03T07:51:01.566738196Z - Error #0: error sending request for url (http://eth-node:8545/)
funder-1    | 2025-06-03T07:51:01.566741091Z - Error #1: client error (Connect)
funder-1    | 2025-06-03T07:51:01.566743827Z - Error #2: tcp connect error: Connection refused (os error 111)
geth-1.15   | 2025-06-03T07:51:01.727220398Z ERROR[06-03|07:51:01.726] Head block is not reachable
funder-1    | 2025-06-03T07:51:01.566746652Z - Error #3: Connection refused (os error 111)
funder-1    | 2025-06-03T07:51:01.568148908Z FATAL: unable to find a funder account: no FUND_PRIVATEKEY and no accounts[0] in node
funder-1    | 2025-06-03T07:51:01.857084909Z funded: 0x43378ff8C70109Ee4Dbe85aF34428ab0615EBd23
funder-1    | 2025-06-03T07:51:01.874445852Z funded: 0x43378ff8C70109Ee4Dbe85aF34428ab0615EBd23
funder-1    | 2025-06-03T07:51:01.891929741Z funded: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
funder-1    | 2025-06-03T07:51:01.909147977Z funded: 0xf39Fd6e51aad88F6F4ce6aB8827279cffFb92266
bundler-1   | 2025-06-03T07:51:03.563847200Z  _    ______  __  _________    ________  ______
bundler-1   | 2025-06-03T07:51:03.563877576Z | |  / / __ \/ / /_  __/   |  /  _/ __ \/ ____/
bundler-1   | 2025-06-03T07:51:03.563882826Z | | / / / / / /   / / / /| |  / // /_/ / __/   
bundler-1   | 2025-06-03T07:51:03.563886262Z | |/ / /_/ / /___/ / / ___ |_/ // _, _/ /___   
bundler-1   | 2025-06-03T07:51:03.563888446Z |___/\____/_____/_/ /_/  |_/___/_/ |_/_____/   
bundler-1   | 2025-06-03T07:51:03.563890550Z version : 0.1.0a51
bundler-1   | 2025-06-03T07:51:03.563936897Z Jun 03 07:51:03.03 INFO Starting *** Voltaire *** - Python 4337 Bundler
bundler-1   | 2025-06-03T07:51:03.565930556Z Jun 03 07:51:03.03 DEBUG Updating reputation entries
bundler-1   | 2025-06-03T07:51:03.566007047Z Jun 03 07:51:03.03 DEBUG Updating reputation entries
bundler-1   | 2025-06-03T07:51:03.566276221Z Jun 03 07:51:03.03 INFO Starting HTTP RPC Server at: 0.0.0.0:3000/rpc
bundler-1   | 2025-06-03T07:51:03.566924180Z Jun 03 07:51:03.03 INFO Starting bundler_endpoint
bundler-1   | 2025-06-03T07:51:04.834741425Z Jun 03 07:51:04.03 DEBUG request: ('eth_chainId', [], 0)
bundler-1   | 2025-06-03T07:51:04.835474513Z Jun 03 07:51:04.03 DEBUG response: 0x539
bundler-1   | 2025-06-03T07:51:04.835876815Z Jun 03 07:51:04.03 INFO 172.18.0.3 "POST /rpc" done in 1.421ms: 200 "None" "foundry/1.0.0" eth_chainId RPC served - reqId:0
bundler-1   | 2025-06-03T07:51:07.058713557Z Jun 03 07:51:07.03 DEBUG request: ('debug_bundler_clearState', [], 0)
bundler-1         | 2025-06-03T07:51:07.059352359Z Jun 03 07:51:07.03 DEBUG response: ok
bundler-waiter-1  | 2025-06-03T07:51:04.836248423Z "0x539"
bundler-1         | 2025-06-03T07:51:07.059675311Z Jun 03 07:51:07.03 INFO 172.18.0.1 "POST /rpc" done in 1.113ms: 200 "None" "python-requests/2.32.3" debug_bundler_clearState RPC served - reqId:0
bundler-1         | 2025-06-03T07:51:07.061488891Z Jun 03 07:51:07.03 DEBUG request: ('debug_bundler_setBundlingMode', ['manual'], 1)
bundler-1         | 2025-06-03T07:51:07.062066479Z Jun 03 07:51:07.03 DEBUG response: OK
bundler-1         | 2025-06-03T07:51:07.062303476Z Jun 03 07:51:07.03 INFO 172.18.0.1 "POST /rpc" done in 835.428μs: 200 "None" "python-requests/2.32.3" debug_bundler_setBundlingMode RPC served - reqId:1
bundler-1         | 2025-06-03T07:51:07.163714445Z Jun 03 07:51:07.03 DEBUG request: ('eth_sendUserOperation', [{'sender': '0x335c612A9b423EC734A7A466a2a874502039a25b', 'nonce': '0x0', 'callData': '0xa9e966b70000000000000000000000000000000000000000000000000000000000000001', 'callGasLimit': '0x493e0', 'verificationGasLimit': '0xf4240', 'preVerificationGas': '0x61a80', 'maxFeePerGas': '0x12a05f200', 'maxPriorityFeePerGas': '0x3b9aca00', 'signature': '0x'}, '0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108'], 2)
bundler-1         | 2025-06-03T07:51:07.292361196Z Jun 03 07:51:07.03 DEBUG response: 0x21c45dec71ba5a1d8cdae8ed93d94045e9522b14ba286cf9c8239ba97179500b
bundler-1         | 2025-06-03T07:51:07.292598243Z Jun 03 07:51:07.03 INFO 172.18.0.1 "POST /rpc" done in 129.03ms: 200 "None" "python-requests/2.32.3" eth_sendUserOperation RPC served - reqId:2
bundler-1         | 2025-06-03T07:51:07.294723364Z Jun 03 07:51:07.03 DEBUG request: ('debug_bundler_dumpMempool', ['0x4337084D9E255Ff0702461CF8895CE9E3b5Ff108'], 3)
